n = 2^10; Tiempo NearestX ; IOs NearestX ; Tiempo Hilbert; IOs Hilbert; Tiempo STR; IOS STR;
Rect(367280, 297716, 445651, 308025); 14300; 1; 48200; 1; 44500; 1
Rect(222021, 8785, 276666, 37309); 14100; 1; 47700; 1; 45000; 1
Rect(290108, 88734, 351807, 89614); 14100; 1; 48700; 1; 59200; 1
Rect(200470, 35864, 250494, 97947); 37900; 1; 49700; 1; 47100; 1
Rect(475569, 155866, 500000, 205618); 38200; 1; 48300; 1; 46500; 1
Rect(1454, 312893, 45099, 405651); 34700; 1; 45800; 1; 45800; 1
Rect(14411, 23154, 89820, 64337); 50100; 1; 46000; 1; 77200; 1
Rect(252969, 153367, 337465, 243631); 38000; 1; 46000; 1; 44400; 1
Rect(195621, 239300, 242141, 288367); 35300; 1; 45800; 1; 46200; 1
Rect(466127, 83400, 500000, 162714); 2968500; 3; 46300; 1; 45000; 1
Rect(54851, 208667, 55574, 282884); 78500; 1; 45900; 1; 46600; 1
Rect(161672, 398304, 229330, 438467); 43200; 1; 45800; 1; 50000; 1
Rect(191317, 360486, 284246, 368613); 41600; 1; 47000; 1; 46800; 1
Rect(420670, 446883, 500000, 500000); 99900; 1; 46000; 1; 3228700; 3
Rect(7188, 207313, 88375, 297484); 33700; 1; 46900; 1; 50400; 1
Rect(387045, 63382, 399942, 127335); 31900; 1; 46200; 1; 46900; 1
Rect(411827, 1654, 412402, 26446); 31800; 1; 52500; 1; 44100; 1
Rect(97399, 36823, 99662, 59164); 35300; 1; 66300; 1; 44500; 1
Rect(11034, 252581, 49805, 299583); 29700; 1; 56800; 1; 45300; 1
Rect(410383, 481042, 470264, 500000); 31300; 1; 54300; 1; 48600; 1
Rect(330937, 98563, 382679, 133796); 29600; 1; 51800; 1; 157100; 1
Rect(193552, 184765, 220694, 252783); 31400; 1; 46300; 1; 45900; 1
Rect(476683, 88609, 484789, 172991); 41500; 1; 79500; 1; 45800; 1
Rect(108183, 431130, 196527, 500000); 29100; 1; 53300; 1; 160500; 1
Rect(457464, 321743, 500000, 335588); 28300; 1; 51100; 1; 47800; 1
Rect(247169, 242685, 276151, 326119); 27500; 1; 50200; 1; 45400; 1
Rect(24941, 11110, 39051, 62203); 28600; 1; 55400; 1; 46200; 1
Rect(399521, 205529, 471673, 263485); 28900; 1; 121400; 1; 45100; 1
; 5326100; 102; 4725700; 100; 7687500; 102

n = 2^12; Tiempo NearestX ; IOs NearestX ; Tiempo Hilbert; IOs Hilbert; Tiempo STR; IOS STR;
Rect(325942, 434039, 408758, 500000); 26100; 1; 18300; 1; 17900; 1
Rect(199603, 436799, 297166, 452666); 11500; 1; 17500; 1; 11500; 1
